exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
HEENT,Eyes,Eyelids and Orbit,Eyelid and orbital inspection,HEENT Eyes,Look straight ahead and blink normally,Inspect lids lashes orbit ptosis proptosis edema and lesions,Set up or position the patient: Look straight ahead and blink normally. Perform the maneuver: Inspect lids lashes orbit ptosis proptosis edema and lesions. Assess and document: Ptosis proptosis lid edema or lesion.,Ptosis proptosis lid edema or lesion,Screens orbital thyroid infection trauma or neurologic clues,Eyelids orbit,Normal / Ptosis / Proptosis / Edema / Lesion / Unable,Eye complaint; thyroid eye disease; orbital cellulitis,heent_eyes_eyelids_and_orbit_eyelid_and_orbital_inspection
HEENT,Eyes,Alignment,Corneal light reflex,HEENT Eyes,Look at distant target,Shine light at both eyes and compare corneal reflections,Set up or position the patient: Look at distant target. Perform the maneuver: Shine light at both eyes and compare corneal reflections. Assess and document: Asymmetric light reflex.,Asymmetric light reflex,Screens ocular alignment and strabismus clue,Corneal light reflex,Symmetric / Asymmetric / Unable,Diplopia; pediatric eye screen; strabismus concern,heent_eyes_alignment_corneal_light_reflex
HEENT,Eyes,Alignment,Cover-uncover test,HEENT Eyes,Look at distant target,Alternate covering each eye and observe refixation movement,Set up or position the patient: Look at distant target. Perform the maneuver: Alternate covering each eye and observe refixation movement. Assess and document: Tropia or phoria.,Tropia or phoria,Screens ocular misalignment,Cover-uncover test,Negative / Tropia / Phoria / Unable,Diplopia; strabismus concern; pediatric eye screen,heent_eyes_alignment_cover_uncover_test
HEENT,Eyes,Color vision,Color vision screen,HEENT Eyes,Use color plates if available,Ask patient to identify color plate numbers with each eye,Set up or position the patient: Use color plates if available. Perform the maneuver: Ask patient to identify color plate numbers with each eye. Assess and document: Reduced color discrimination.,Reduced color discrimination,Screens optic nerve dysfunction and color vision deficit,Color vision,Normal / Reduced right / Reduced left / Bilateral / Unable,Optic neuritis; vision complaint; medication toxicity,heent_eyes_color_vision_color_vision_screen
HEENT,Eyes,Cornea,Fluorescein staining,HEENT Eyes,Remove contact lens and explain dye if indicated,Instill fluorescein and inspect cornea with blue light,Set up or position the patient: Remove contact lens and explain dye if indicated. Perform the maneuver: Instill fluorescein and inspect cornea with blue light. Assess and document: Corneal uptake dendrite abrasion ulcer or foreign body.,Corneal uptake dendrite abrasion ulcer or foreign body,Screens corneal abrasion ulcer keratitis and foreign body,Fluorescein staining,No uptake / Abrasion / Ulcer / Dendrite / Foreign body / Unable,Eye pain; photophobia; foreign body; contact lens concern,heent_eyes_cornea_fluorescein_staining
HEENT,Eyes,Pressure,Intraocular pressure estimate,HEENT Eyes,Look down with eyes closed for palpation or use tonometer if trained,Assess globe firmness or measure pressure when indicated,Set up or position the patient: Look down with eyes closed for palpation or use tonometer if trained. Perform the maneuver: Assess globe firmness or measure pressure when indicated. Assess and document: Elevated or asymmetric eye pressure clue.,Elevated or asymmetric eye pressure clue,Screens acute glaucoma or ocular hypertension concern,Intraocular pressure,Normal estimate / Elevated concern / Measured high / Deferred / Unable,Eye pain; headache; glaucoma concern,heent_eyes_pressure_intraocular_pressure_estimate
HEENT,Ears,Hearing,Whispered voice test,HEENT Ears,Occlude opposite ear and repeat whispered numbers or letters,Stand behind patient and whisper at arm length for each ear,Set up or position the patient: Occlude opposite ear and repeat whispered numbers or letters. Perform the maneuver: Stand behind patient and whisper at arm length for each ear. Assess and document: Reduced hearing on one side.,Reduced hearing on one side,Screens bedside hearing loss,Whispered voice,Normal / Reduced right / Reduced left / Bilateral / Unable,Hearing loss; delirium risk; communication barrier,heent_ears_hearing_whispered_voice_test
HEENT,Mouth,Hydration,Oral mucous membranes,HEENT Mouth,Open mouth and lift tongue if able,Inspect mucosa tongue and lips for dryness lesions cyanosis thrush or bleeding,Set up or position the patient: Open mouth and lift tongue if able. Perform the maneuver: Inspect mucosa tongue and lips for dryness lesions cyanosis thrush or bleeding. Assess and document: Dry mucosa ulcers thrush cyanosis or bleeding.,Dry mucosa ulcers thrush cyanosis or bleeding,Screens hydration infection anemia and oxygenation clues,Oral mucosa,Moist / Dry / Ulcer / Thrush / Bleeding / Cyanosis,Dehydration; immunosuppression; dysphagia; hypoxemia,heent_mouth_hydration_oral_mucous_membranes
HEENT,Mouth,Dentition,Dentition and gingiva,HEENT Mouth,Open mouth and show teeth,Inspect teeth gums dentures caries swelling and bleeding,Set up or position the patient: Open mouth and show teeth. Perform the maneuver: Inspect teeth gums dentures caries swelling and bleeding. Assess and document: Poor dentition gingivitis abscess loose tooth or dentures issue.,Poor dentition gingivitis abscess loose tooth or dentures issue,Screens oral infection aspiration risk and nutrition barriers,Dentition gingiva,Normal / Poor dentition / Gingivitis / Abscess concern / Dentures,Oral pain; fever source; aspiration risk; pre-op exam,heent_mouth_dentition_dentition_and_gingiva
HEENT,Neck,Meningeal,Nuchal rigidity,HEENT Neck,Relax neck while supine if safe,Passively flex neck and assess resistance or pain,Set up or position the patient: Relax neck while supine if safe. Perform the maneuver: Passively flex neck and assess resistance or pain. Assess and document: Stiff neck or pain with flexion.,Stiff neck or pain with flexion,Screens meningeal irritation clue,Nuchal rigidity,Absent / Present / Limited by pain / Deferred / Unable,Fever headache; meningitis concern; subarachnoid concern,heent_neck_meningeal_nuchal_rigidity
HEENT,Neck,Meningeal,Kernig sign,HEENT Neck,Lie supine with hip and knee flexed,Extend knee while hip flexed and observe pain or resistance,Set up or position the patient: Lie supine with hip and knee flexed. Perform the maneuver: Extend knee while hip flexed and observe pain or resistance. Assess and document: Hamstring pain or resistance with knee extension.,Hamstring pain or resistance with knee extension,Screens meningeal irritation clue,Kernig sign,Negative / Positive right / Positive left / Bilateral / Unable,Meningitis concern; subarachnoid concern,heent_neck_meningeal_kernig_sign
HEENT,Neck,Meningeal,Brudzinski sign,HEENT Neck,Lie supine and relax neck,Passively flex neck and observe hip or knee flexion,Set up or position the patient: Lie supine and relax neck. Perform the maneuver: Passively flex neck and observe hip or knee flexion. Assess and document: Involuntary hip or knee flexion.,Involuntary hip or knee flexion,Screens meningeal irritation clue,Brudzinski sign,Negative / Positive / Unable,Meningitis concern; subarachnoid concern,heent_neck_meningeal_brudzinski_sign
Cardiopulmonary,Pulmonary Exam,Respiratory effort,Work of breathing,Cardiopulmonary Pulmonary,Sit upright if possible,Observe speech length accessory muscle use retractions nasal flaring and tripod posture,Set up or position the patient: Sit upright if possible. Perform the maneuver: Observe speech length accessory muscle use retractions nasal flaring and tripod posture. Assess and document: Increased work of breathing or inability to speak full sentences.,Increased work of breathing or inability to speak full sentences,Screens respiratory distress severity and escalation need,Work of breathing,Normal / Mild increased / Moderate / Severe / Unable,Dyspnea; hypoxia; asthma; COPD; pneumonia,cardiopulmonary_pulmonary_exam_respiratory_effort_work_of_breathing
Cardiopulmonary,Pulmonary Exam,Chest excursion,Symmetric chest expansion,Cardiopulmonary Pulmonary,Place hands over posterior lower ribs and ask patient to inhale deeply,Observe thumbs separating symmetrically with inspiration,Set up or position the patient: Place hands over posterior lower ribs and ask patient to inhale deeply. Perform the maneuver: Observe thumbs separating symmetrically with inspiration. Assess and document: Reduced or asymmetric expansion.,Reduced or asymmetric expansion,Screens effusion pneumothorax consolidation or neuromuscular weakness clue,Chest expansion,Symmetric / Reduced right / Reduced left / Bilateral reduced / Unable,Dyspnea; pleuritic pain; trauma; neuromuscular weakness,cardiopulmonary_pulmonary_exam_chest_excursion_symmetric_chest_expansion
Cardiopulmonary,Pulmonary Exam,Voice sounds,Egophony,Cardiopulmonary Pulmonary,Ask patient to say E while auscultating,Listen over symmetric lung fields for E-to-A change,Set up or position the patient: Ask patient to say E while auscultating. Perform the maneuver: Listen over symmetric lung fields for E-to-A change. Assess and document: Egophony over focal area.,Egophony over focal area,Screens alveolar consolidation or compressed lung clue,Egophony,Absent / Present right / Present left / Bilateral / Unable,Pneumonia; effusion; focal crackles,cardiopulmonary_pulmonary_exam_voice_sounds_egophony
Cardiopulmonary,Pulmonary Exam,Voice sounds,Bronchophony,Cardiopulmonary Pulmonary,Ask patient to say ninety-nine while auscultating,Compare intensity over symmetric lung fields,Set up or position the patient: Ask patient to say ninety-nine while auscultating. Perform the maneuver: Compare intensity over symmetric lung fields. Assess and document: Increased voice transmission.,Increased voice transmission,Screens consolidation clue,Bronchophony,Absent / Present right / Present left / Bilateral / Unable,Pneumonia; focal lung findings,cardiopulmonary_pulmonary_exam_voice_sounds_bronchophony
Cardiopulmonary,Pulmonary Exam,Voice sounds,Whispered pectoriloquy,Cardiopulmonary Pulmonary,Ask patient to whisper one-two-three while auscultating,Listen for unusually clear whispered words,Set up or position the patient: Ask patient to whisper one-two-three while auscultating. Perform the maneuver: Listen for unusually clear whispered words. Assess and document: Clear whispered words over lung field.,Clear whispered words over lung field,Screens consolidation clue,Whispered pectoriloquy,Absent / Present right / Present left / Bilateral / Unable,Pneumonia; focal lung findings,cardiopulmonary_pulmonary_exam_voice_sounds_whispered_pectoriloquy
Cardiopulmonary,Pulmonary Exam,Pleura,Pleural rub auscultation,Cardiopulmonary Pulmonary,Breathe slowly and deeply if tolerated,Listen over painful area for grating sound during respiration,Set up or position the patient: Breathe slowly and deeply if tolerated. Perform the maneuver: Listen over painful area for grating sound during respiration. Assess and document: Pleural friction rub.,Pleural friction rub,Screens pleuritis pulmonary embolism pneumonia or pericardial mimic clue,Pleural rub,Absent / Present right / Present left / Unable,Pleuritic chest pain; pneumonia; pulmonary embolism concern,cardiopulmonary_pulmonary_exam_pleura_pleural_rub_auscultation
Cardiopulmonary,Cardiac Exam,Precordium,Precordial heaves and thrills,Cardiopulmonary Cardiac,Lie at 30 to 45 degrees if tolerated,Palpate precordium with heel of hand and finger pads,Set up or position the patient: Lie at 30 to 45 degrees if tolerated. Perform the maneuver: Palpate precordium with heel of hand and finger pads. Assess and document: Heave lift or palpable thrill.,Heave lift or palpable thrill,Screens ventricular enlargement and loud murmur clue,Heaves thrills,Absent / Heave / Thrill / Unable,Murmur; pulmonary hypertension; heart failure,cardiopulmonary_cardiac_exam_precordium_precordial_heaves_and_thrills
Cardiopulmonary,Cardiac Exam,Auscultation,Murmur radiation,Cardiopulmonary Cardiac,Hold breath briefly if safe during focused listening,Listen from murmur location to carotids axilla back and apex,Set up or position the patient: Hold breath briefly if safe during focused listening. Perform the maneuver: Listen from murmur location to carotids axilla back and apex. Assess and document: Radiation to carotid axilla back or apex.,Radiation to carotid axilla back or apex,Screens valvular murmur pattern and severity clue,Murmur radiation,None / Carotids / Axilla / Back / Apex / Unable,Murmur; syncope; valve disease,cardiopulmonary_cardiac_exam_auscultation_murmur_radiation
Cardiopulmonary,Cardiac Exam,Dynamic Maneuvers,Valsalva murmur maneuver,Cardiopulmonary Cardiac,Strain as if bearing down if safe,Listen to murmur intensity during strain and release,Set up or position the patient: Strain as if bearing down if safe. Perform the maneuver: Listen to murmur intensity during strain and release. Assess and document: Murmur louder or softer with Valsalva.,Murmur louder or softer with Valsalva,Screens dynamic obstruction and murmur physiology clue,Valsalva murmur,No change / Louder with strain / Softer with strain / Deferred / Unable,Systolic murmur; hypertrophic cardiomyopathy concern,cardiopulmonary_cardiac_exam_dynamic_maneuvers_valsalva_murmur_maneuver
Cardiopulmonary,Cardiac Exam,Dynamic Maneuvers,Handgrip murmur maneuver,Cardiopulmonary Cardiac,Squeeze hands together or grip object if safe,Listen to murmur intensity during sustained handgrip,Set up or position the patient: Squeeze hands together or grip object if safe. Perform the maneuver: Listen to murmur intensity during sustained handgrip. Assess and document: Murmur changes with increased afterload.,Murmur changes with increased afterload,Screens mitral regurgitation aortic regurgitation and dynamic murmur physiology,Handgrip murmur,No change / Louder / Softer / Deferred / Unable,Murmur characterization; valvular disease concern,cardiopulmonary_cardiac_exam_dynamic_maneuvers_handgrip_murmur_maneuver
Cardiopulmonary,Cardiac Exam,Dynamic Maneuvers,Squat-to-stand murmur maneuver,Cardiopulmonary Cardiac,Only perform if safe standing support available,Listen while squatting then standing or passive leg raise alternative,Set up or position the patient: Only perform if safe standing support available. Perform the maneuver: Listen while squatting then standing or passive leg raise alternative. Assess and document: Murmur changes with preload alteration.,Murmur changes with preload alteration,Screens hypertrophic cardiomyopathy and valvular murmur physiology,Squat stand murmur,No change / Louder standing / Louder squatting / Deferred / Unable,Murmur characterization; syncope; athletic patient,cardiopulmonary_cardiac_exam_dynamic_maneuvers_squat_to_stand_murmur_maneuver
Cardiopulmonary,Vascular Exam,Neck,Hepatojugular reflux,Cardiopulmonary Vascular,Lie at 30 to 45 degrees with head turned slightly,Apply firm RUQ pressure for 10 seconds while observing JVP,Set up or position the patient: Lie at 30 to 45 degrees with head turned slightly. Perform the maneuver: Apply firm RUQ pressure for 10 seconds while observing JVP. Assess and document: Sustained JVP rise.,Sustained JVP rise,Screens elevated right-sided filling pressure and volume overload,Hepatojugular reflux,Negative / Positive / Unable,Heart failure; volume overload; pulmonary hypertension,cardiopulmonary_vascular_exam_neck_hepatojugular_reflux
Cardiopulmonary,Vascular Exam,Upper extremity,Brachial pulses,Cardiopulmonary Vascular,Relax arm supported,Palpate medial antecubital area bilaterally,Set up or position the patient: Relax arm supported. Perform the maneuver: Palpate medial antecubital area bilaterally. Assess and document: Weak asymmetric or absent brachial pulse.,Weak asymmetric or absent brachial pulse,Screens upper extremity perfusion and vascular access clues,Brachial pulses,2+ equal / Reduced right / Reduced left / Absent / Unable,Shock; arterial disease; vascular access planning,cardiopulmonary_vascular_exam_upper_extremity_brachial_pulses
Cardiopulmonary,Vascular Exam,Upper extremity,Allen test,Cardiopulmonary Vascular,Open and close fist then keep hand open,Occlude radial and ulnar arteries then release ulnar artery and observe reperfusion,Set up or position the patient: Open and close fist then keep hand open. Perform the maneuver: Occlude radial and ulnar arteries then release ulnar artery and observe reperfusion. Assess and document: Delayed palmar reperfusion.,Delayed palmar reperfusion,Screens collateral hand perfusion before arterial puncture or access,Allen test,Normal / Delayed right / Delayed left / Deferred / Unable,Arterial line planning; radial artery procedure; hand ischemia,cardiopulmonary_vascular_exam_upper_extremity_allen_test
Cardiopulmonary,Vascular Exam,Lower extremity,Popliteal pulses,Cardiopulmonary Vascular,Flex knee slightly and relax leg,Palpate deep in popliteal fossa with both hands,Set up or position the patient: Flex knee slightly and relax leg. Perform the maneuver: Palpate deep in popliteal fossa with both hands. Assess and document: Weak asymmetric or bounding popliteal pulse.,Weak asymmetric or bounding popliteal pulse,Screens lower extremity arterial disease or aneurysm clue,Popliteal pulses,2+ equal / Reduced right / Reduced left / Bounding / Unable,Peripheral arterial disease; limb ischemia; aneurysm concern,cardiopulmonary_vascular_exam_lower_extremity_popliteal_pulses
Cardiopulmonary,Vascular Exam,Lower extremity,Peripheral temperature gradient,Cardiopulmonary Vascular,Expose symmetric lower extremities,Use dorsum of hand to compare warmth from thigh to foot,Set up or position the patient: Expose symmetric lower extremities. Perform the maneuver: Use dorsum of hand to compare warmth from thigh to foot. Assess and document: Cool distal limb or asymmetric temperature gradient.,Cool distal limb or asymmetric temperature gradient,Screens limb ischemia shock or perfusion abnormality,Peripheral temperature,Warm equal / Cool right / Cool left / Bilateral cool / Unable,Limb ischemia; shock; vascular disease,cardiopulmonary_vascular_exam_lower_extremity_peripheral_temperature_gradient
Cardiopulmonary,Vascular Exam,Lower extremity,Varicose veins inspection,Cardiopulmonary Vascular,Stand if safe or inspect supine legs,Inspect superficial veins edema skin changes and ulcer pattern,Set up or position the patient: Stand if safe or inspect supine legs. Perform the maneuver: Inspect superficial veins edema skin changes and ulcer pattern. Assess and document: Varicosities stasis changes or venous ulcer.,Varicosities stasis changes or venous ulcer,Screens chronic venous disease clue,Varicose veins,Absent / Present right / Present left / Bilateral / Ulcer,Leg swelling; venous insufficiency; ulcer concern,cardiopulmonary_vascular_exam_lower_extremity_varicose_veins_inspection
Abdomen,Core Exam,Palpation,Guarding and rigidity,Abdomen Core,Relax knees and breathe slowly,Palpate gently then more deeply while observing involuntary guarding or board-like rigidity,Set up or position the patient: Relax knees and breathe slowly. Perform the maneuver: Palpate gently then more deeply while observing involuntary guarding or board-like rigidity. Assess and document: Voluntary guarding involuntary guarding or rigidity.,Voluntary guarding involuntary guarding or rigidity,Screens peritoneal irritation and acute abdomen severity,Guarding rigidity,Absent / Voluntary guarding / Involuntary guarding / Rigidity / Unable,Acute abdominal pain; peritonitis concern,abdomen_core_exam_palpation_guarding_and_rigidity
Abdomen,Core Exam,Palpation,Suprapubic tenderness,Abdomen Core,Empty bladder status if known,Palpate suprapubic area gently,Set up or position the patient: Empty bladder status if known. Perform the maneuver: Palpate suprapubic area gently. Assess and document: Tenderness fullness or discomfort.,Tenderness fullness or discomfort,Screens cystitis urinary retention and pelvic-source pain clue,Suprapubic tenderness,Absent / Present / Fullness / Unable,Dysuria; urinary retention; pelvic pain; lower abdominal pain,abdomen_core_exam_palpation_suprapubic_tenderness
Abdomen,Core Exam,Auscultation,Abdominal bruits,Abdomen Vascular,Hold breath briefly if able,Listen over aorta renal iliac and femoral areas for bruits,Set up or position the patient: Hold breath briefly if able. Perform the maneuver: Listen over aorta renal iliac and femoral areas for bruits. Assess and document: Bruit present over vascular territory.,Bruit present over vascular territory,Screens vascular stenosis aneurysm or turbulent flow clue,Abdominal bruits,Absent / Aortic / Renal / Iliac / Femoral / Unable,Hypertension; abdominal aneurysm concern; vascular disease,abdomen_core_exam_auscultation_abdominal_bruits
Abdomen,Core Exam,Palpation,Aortic pulsation,Abdomen Vascular,Lie supine and relax abdomen,Palpate above umbilicus for aortic width and pulsation,Set up or position the patient: Lie supine and relax abdomen. Perform the maneuver: Palpate above umbilicus for aortic width and pulsation. Assess and document: Prominent or widened pulsation.,Prominent or widened pulsation,Screens abdominal aortic aneurysm clue,Aortic pulsation,Normal / Prominent / Widened concern / Unable,Abdominal pain; pulsatile mass; vascular disease,abdomen_core_exam_palpation_aortic_pulsation
Abdomen,Advanced Maneuvers,Appendicitis,McBurney point tenderness,Abdomen Appendicitis,Lie supine with knees flexed if helpful,Palpate one third from right anterior superior iliac spine to umbilicus,Set up or position the patient: Lie supine with knees flexed if helpful. Perform the maneuver: Palpate one third from right anterior superior iliac spine to umbilicus. Assess and document: Localized RLQ tenderness.,Localized RLQ tenderness,Screens appendiceal irritation pattern,McBurney tenderness,Absent / Present / Unable,RLQ pain; appendicitis concern,abdomen_advanced_maneuvers_appendicitis_mcburney_point_tenderness
Abdomen,Advanced Maneuvers,Appendicitis,Rovsing sign,Abdomen Appendicitis,Lie supine,Palpate LLQ and observe for RLQ pain,Set up or position the patient: Lie supine. Perform the maneuver: Palpate LLQ and observe for RLQ pain. Assess and document: RLQ pain with LLQ palpation.,RLQ pain with LLQ palpation,Screens peritoneal irritation from appendicitis,Rovsing sign,Negative / Positive / Unable,RLQ pain; appendicitis concern,abdomen_advanced_maneuvers_appendicitis_rovsing_sign
Abdomen,Advanced Maneuvers,Abdominal wall,Carnett sign,Abdomen Abdominal Wall,Identify tender spot then tense abdominal wall by raising head or legs,Palpate same tender spot before and during tensing,Set up or position the patient: Identify tender spot then tense abdominal wall by raising head or legs. Perform the maneuver: Palpate same tender spot before and during tensing. Assess and document: Pain unchanged or worse with tensing.,Pain unchanged or worse with tensing,Screens abdominal wall pain versus intra-abdominal pain clue,Carnett sign,Negative / Positive / Unable,Focal abdominal pain; abdominal wall pain concern,abdomen_advanced_maneuvers_abdominal_wall_carnett_sign
Abdomen,Advanced Maneuvers,Ascites,Fluid wave,Abdomen Ascites,Lie supine with hand edge at midline if assistant available,Tap one flank and feel opposite flank for transmitted wave,Set up or position the patient: Lie supine with hand edge at midline if assistant available. Perform the maneuver: Tap one flank and feel opposite flank for transmitted wave. Assess and document: Fluid wave present.,Fluid wave present,Screens ascites clue,Fluid wave,Absent / Present / Unable,Ascites; cirrhosis; abdominal distension,abdomen_advanced_maneuvers_ascites_fluid_wave
Abdomen,Advanced Maneuvers,Ascites,Shifting dullness,Abdomen Ascites,Lie supine then roll to side,Map percussion dullness and reassess after position change,Set up or position the patient: Lie supine then roll to side. Perform the maneuver: Map percussion dullness and reassess after position change. Assess and document: Dullness shifts with position.,Dullness shifts with position,Screens ascites clue,Shifting dullness,Absent / Present / Unable,Ascites; cirrhosis; abdominal distension,abdomen_advanced_maneuvers_ascites_shifting_dullness
Abdomen,Advanced Maneuvers,Hernia,Abdominal wall hernia exam,Abdomen Hernia,Stand or raise head if safe,Inspect and palpate umbilical ventral and incision sites during cough or Valsalva,Set up or position the patient: Stand or raise head if safe. Perform the maneuver: Inspect and palpate umbilical ventral and incision sites during cough or Valsalva. Assess and document: Bulge cough impulse tenderness or incarceration concern.,Bulge cough impulse tenderness or incarceration concern,Screens abdominal wall hernia and surgical complication,Hernia exam,Absent / Reducible / Tender / Incarceration concern / Unable,Abdominal bulge; post-operative pain; obstruction concern,abdomen_advanced_maneuvers_hernia_abdominal_wall_hernia_exam
MSK,Advanced Maneuvers,Shoulder,Neer impingement sign,MSK Advanced Shoulder,Relax arm with thumb down if tolerated,Passively forward flex arm overhead while stabilizing scapula,Set up or position the patient: Relax arm with thumb down if tolerated. Perform the maneuver: Passively forward flex arm overhead while stabilizing scapula. Assess and document: Pain near end range.,Pain near end range,Screens shoulder impingement or rotator cuff irritation,Neer sign,Negative / Positive right / Positive left / Bilateral / Unable,Shoulder pain; impingement concern,msk_advanced_maneuvers_shoulder_neer_impingement_sign
MSK,Advanced Maneuvers,Shoulder,Drop arm test,MSK Advanced Shoulder,Abduct arm to 90 degrees,Ask patient to slowly lower arm from abduction,Set up or position the patient: Abduct arm to 90 degrees. Perform the maneuver: Ask patient to slowly lower arm from abduction. Assess and document: Sudden drop or inability to lower smoothly.,Sudden drop or inability to lower smoothly,Screens rotator cuff tear clue,Drop arm test,Negative / Positive right / Positive left / Bilateral / Unable,Shoulder weakness; rotator cuff tear concern,msk_advanced_maneuvers_shoulder_drop_arm_test
MSK,Advanced Maneuvers,Shoulder,Apprehension relocation test,MSK Advanced Shoulder,Supine with shoulder abducted and externally rotated if tolerated,Externally rotate shoulder then apply posterior relocation pressure,Set up or position the patient: Supine with shoulder abducted and externally rotated if tolerated. Perform the maneuver: Externally rotate shoulder then apply posterior relocation pressure. Assess and document: Apprehension relieved by relocation.,Apprehension relieved by relocation,Screens anterior shoulder instability,Apprehension relocation,Negative / Positive right / Positive left / Bilateral / Unable,Shoulder dislocation; instability concern,msk_advanced_maneuvers_shoulder_apprehension_relocation_test
MSK,Advanced Maneuvers,Shoulder,Cross-body adduction test,MSK Advanced Shoulder,Raise arm to 90 degrees,Passively adduct arm across chest,Set up or position the patient: Raise arm to 90 degrees. Perform the maneuver: Passively adduct arm across chest. Assess and document: Pain over acromioclavicular joint.,Pain over acromioclavicular joint,Screens AC joint pathology,Cross-body adduction,Negative / Positive right / Positive left / Bilateral / Unable,Superior shoulder pain; AC joint concern,msk_advanced_maneuvers_shoulder_cross_body_adduction_test
MSK,Advanced Maneuvers,Elbow,Valgus stress test,MSK Advanced Elbow,Elbow flexed 20 to 30 degrees if tolerated,Apply valgus stress while stabilizing upper arm,Set up or position the patient: Elbow flexed 20 to 30 degrees if tolerated. Perform the maneuver: Apply valgus stress while stabilizing upper arm. Assess and document: Medial pain or laxity.,Medial pain or laxity,Screens ulnar collateral ligament injury,Elbow valgus stress,Negative / Positive right / Positive left / Bilateral / Unable,Elbow injury; throwing athlete; medial elbow pain,msk_advanced_maneuvers_elbow_valgus_stress_test
MSK,Advanced Maneuvers,Elbow,Varus stress test,MSK Advanced Elbow,Elbow flexed 20 to 30 degrees if tolerated,Apply varus stress while stabilizing upper arm,Set up or position the patient: Elbow flexed 20 to 30 degrees if tolerated. Perform the maneuver: Apply varus stress while stabilizing upper arm. Assess and document: Lateral pain or laxity.,Lateral pain or laxity,Screens lateral collateral ligament injury,Elbow varus stress,Negative / Positive right / Positive left / Bilateral / Unable,Elbow injury; lateral elbow pain,msk_advanced_maneuvers_elbow_varus_stress_test
MSK,Advanced Maneuvers,Elbow,Cozen test,MSK Advanced Elbow,Make fist with elbow extended and forearm pronated,Resist wrist extension while palpating lateral epicondyle,Set up or position the patient: Make fist with elbow extended and forearm pronated. Perform the maneuver: Resist wrist extension while palpating lateral epicondyle. Assess and document: Lateral epicondyle pain.,Lateral epicondyle pain,Screens lateral epicondylitis,Cozen test,Negative / Positive right / Positive left / Bilateral / Unable,Lateral elbow pain; tennis elbow concern,msk_advanced_maneuvers_elbow_cozen_test
MSK,Advanced Maneuvers,Wrist,Watson scaphoid shift test,MSK Advanced Wrist,Relax wrist and warn about discomfort,Press scaphoid tubercle while moving wrist from ulnar to radial deviation,Set up or position the patient: Relax wrist and warn about discomfort. Perform the maneuver: Press scaphoid tubercle while moving wrist from ulnar to radial deviation. Assess and document: Pain clunk or apprehension.,Pain clunk or apprehension,Screens scapholunate instability clue,Watson test,Negative / Positive right / Positive left / Bilateral / Unable,Wrist pain; fall on outstretched hand; instability concern,msk_advanced_maneuvers_wrist_watson_scaphoid_shift_test
MSK,Advanced Maneuvers,Hand,Grip and pinch strength,MSK Advanced Hand,Squeeze examiner fingers then pinch paper or fingers,Compare grip pinch and key pinch bilaterally,Set up or position the patient: Squeeze examiner fingers then pinch paper or fingers. Perform the maneuver: Compare grip pinch and key pinch bilaterally. Assess and document: Weak grip or pinch asymmetry.,Weak grip or pinch asymmetry,Screens hand function median ulnar radial and pain-limited strength,Grip pinch,Symmetric / Weak right / Weak left / Pain limited / Unable,Hand pain; neuropathy; functional assessment,msk_advanced_maneuvers_hand_grip_and_pinch_strength
MSK,Advanced Maneuvers,Hip,Log roll test,MSK Advanced Hip,Lie supine and relax leg,Passively roll entire leg internally and externally,Set up or position the patient: Lie supine and relax leg. Perform the maneuver: Passively roll entire leg internally and externally. Assess and document: Pain with passive hip rotation.,Pain with passive hip rotation,Screens intra-articular hip pathology or fracture clue,Log roll test,Negative / Positive right / Positive left / Bilateral / Unable,Hip pain; trauma; occult fracture concern,msk_advanced_maneuvers_hip_log_roll_test
MSK,Advanced Maneuvers,Hip,FABER test,MSK Advanced Hip,Place ankle over opposite knee if tolerated,Stabilize opposite pelvis and gently press flexed knee downward,Set up or position the patient: Place ankle over opposite knee if tolerated. Perform the maneuver: Stabilize opposite pelvis and gently press flexed knee downward. Assess and document: Anterior hip or posterior SI pain.,Anterior hip or posterior SI pain,Screens hip joint or sacroiliac pain source,FABER test,Negative / Positive right hip / Positive left hip / SI pain / Unable,Hip pain; sacroiliac pain; groin pain,msk_advanced_maneuvers_hip_faber_test
MSK,Advanced Maneuvers,Hip,FADIR test,MSK Advanced Hip,Lie supine and relax hip,Flex hip to 90 degrees then adduct and internally rotate,Set up or position the patient: Lie supine and relax hip. Perform the maneuver: Flex hip to 90 degrees then adduct and internally rotate. Assess and document: Pain or impingement sensation.,Pain or impingement sensation,Screens femoroacetabular impingement or intra-articular hip pathology,FADIR test,Negative / Positive right / Positive left / Bilateral / Unable,Groin pain; hip impingement concern,msk_advanced_maneuvers_hip_fadir_test
MSK,Advanced Maneuvers,Hip,Trendelenburg test,MSK Advanced Hip,Stand on one leg holding support if needed,Observe pelvis drop on unsupported side,Set up or position the patient: Stand on one leg holding support if needed. Perform the maneuver: Observe pelvis drop on unsupported side. Assess and document: Pelvis drops or trunk lurches.,Pelvis drops or trunk lurches,Screens hip abductor weakness and gait mechanics,Trendelenburg test,Negative / Positive right stance / Positive left stance / Unable,Hip pain; gait abnormality; abductor weakness,msk_advanced_maneuvers_hip_trendelenburg_test
